,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,result,rsi6,roc6,sma6,ema6,wma6,tema6,william6,cci6,cmo6,macd6,macdsignal6,macdhist6,ppo6,parabolicsar6,rsi7,roc7,sma7,ema7,wma7,tema7,william7,cci7,cmo7,macd7,macdsignal7,macdhist7,ppo7,parabolicsar7,rsi8,roc8,sma8,ema8,wma8,tema8,william8,cci8,cmo8,macd8,macdsignal8,macdhist8,ppo8,parabolicsar8,rsi9,roc9,sma9,ema9,wma9,tema9,william9,cci9,cmo9,macd9,macdsignal9,macdhist9,ppo9,parabolicsar9,rsi10,roc10,sma10,ema10,wma10,tema10,william10,cci10,cmo10,macd10,macdsignal10,macdhist10,ppo10,parabolicsar10,rsi11,roc11,sma11,ema11,wma11,tema11,william11,cci11,cmo11,macd11,macdsignal11,macdhist11,ppo11,parabolicsar11,rsi12,roc12,sma12,ema12,wma12,tema12,william12,cci12,cmo12,macd12,macdsignal12,macdhist12,ppo12,parabolicsar12,rsi13,roc13,sma13,ema13,wma13,tema13,william13,cci13,cmo13,macd13,macdsignal13,macdhist13,ppo13,parabolicsar13,rsi14,roc14,sma14,ema14,wma14,tema14,william14,cci14,cmo14,macd14,macdsignal14,macdhist14,ppo14,parabolicsar14,rsi15,roc15,sma15,ema15,wma15,tema15,william15,cci15,cmo15,macd15,macdsignal15,macdhist15,ppo15,parabolicsar15,rsi16,roc16,sma16,ema16,wma16,tema16,william16,cci16,cmo16,macd16,macdsignal16,macdhist16,ppo16,parabolicsar16,rsi17,roc17,sma17,ema17,wma17,tema17,william17,cci17,cmo17,macd17,macdsignal17,macdhist17,ppo17,parabolicsar17,rsi18,roc18,sma18,ema18,wma18,tema18,william18,cci18,cmo18,macd18,macdsignal18,macdhist18,ppo18,parabolicsar18,rsi19,roc19,sma19,ema19,wma19,tema19,william19,cci19,cmo19,macd19,macdsignal19,macdhist19,ppo19,parabolicsar19,rsi20,roc20,sma20,ema20,wma20,tema20,william20,cci20,cmo20,macd20,macdsignal20,macdhist20,ppo20,parabolicsar20
0,0,2010-01-04,545.549988,545.549988,510.924988,537.75,457.306488,35040012.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.0
1,1,2010-01-05,574.950012,574.950012,532.700012,535.349976,455.265503,9780080.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251
2,2,2010-01-06,539.950012,547.25,535.325012,544.0,462.62146,10831076.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251
3,3,2010-01-07,544.0,557.5,539.0,553.025024,470.296417,11976808.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251
4,4,2010-01-08,554.0,556.900024,548.0,551.575012,469.063354,6907852.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251
5,5,2010-01-11,567.349976,574.849976,525.0,540.75,459.857635,86244270.0,0,0.0,0.0,0.9981193394592276,0.9981193394592276,0.998515267994127,0.0,0.07710708217166802,0.8108781364963624,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251
6,6,2010-01-12,547.5,568.650024,538.5,542.174988,461.069519,14990718.0,0,0.850108055495983,0.600739066598479,0.9982513156375274,0.9979708662586403,0.9983997888381148,0.0,0.034924196182589046,0.844680535163403,0.7929953643367372,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.9980038603032153,0.9980038603032153,0.9983173037266774,0.0,0.07987858191596417,0.8482273949552106,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251
7,7,2010-01-13,544.0,546.0,534.299988,544.299988,462.876617,7022156.0,0,0.8543477902238646,0.6266393915898181,0.9986472441724269,0.9980203573255028,0.9983832918158272,0.0,0.03642542521074946,0.20118118679578337,0.8044937888711088,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.853737400399228,0.6126169226454625,0.9982183215929524,0.9980698483923652,0.9983338007489648,0.0,0.036557401389049275,0.16833561542141642,0.8029265717537984,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.9980368543477902,0.9980368543477902,0.9982843096821024,0.0,0.0840358315324084,0.31477968226735076,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251
8,8,2010-01-14,543.0,562.400024,543.0,560.849976,476.950836,11221436.0,2,0.8770311958691456,0.666958114060412,0.9993731131530759,0.9993236220862134,0.9996040714651006,0.0,0.05872939934341851,0.9306960093703086,0.8431628091129552,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.8739297556790999,0.70633650626062,0.999241136974776,0.9992081429302011,0.9994720952868007,0.0,0.05872939934341851,0.9273966049128133,0.8374383423792006,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.8720325981160401,0.6959598792417968,0.9987462263061517,0.9990101786627513,0.999274131019351,0.0,0.05887787254400581,0.9448339574706766,0.8343369021891549,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.9985482620387021,0.9985482620387021,0.9991256578187637,0.0,0.1150997244997278,0.9200719270171734,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251
9,9,2010-01-15,562.900024,569.450012,552.525024,555.375,472.294891,8579466.0,2,0.8628437567019153,0.5878713892142469,0.9995545803982381,0.9998350297771252,0.9999010178662752,0.0,0.049623043040731146,0.9353646666776647,0.8172129930547536,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.8619034264315291,0.6389791642608509,0.9996865565765379,0.9997690416879753,0.9998680238217001,0.0,0.049623043040731146,0.9530164805252652,0.8158602372271805,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.8613755217183299,0.6834881303924641,0.9994885923090883,0.9995875744428131,0.9998185327548378,0.0,0.049623043040731146,0.9552105844894997,0.8151178712242441,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.8626457924344656,0.6714947951894683,0.9990266756850389,0.9990431727073263,0.9997360476434004,0.0,0.04987049837504331,0.965455235330023,0.816916046653579,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.9987627233284392,0.9987627233284392,0.9995710774205256,0.0,0.10409621063398057,0.9498325552237821,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12345.0,-12345.0,0.0,0.9999670059554251
